Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/19,1:00:00,0.6205,15.7025,16.65392,No data,No data,119.4,1.5,10.7
2020/6/19,2:00:00,0.48261,17.33689,18.07689,No data,No data,129.5,2.1,10.7
2020/6/19,3:00:00,0.46538,18.57547,19.28904,No data,No data,131.7,2.6,10.6
2020/6/19,4:00:00,0.56879,19.20744,20.07957,No data,No data,115.1,2.7,10.4
2020/6/19,5:00:00,0.87905,18.61314,19.96099,No data,No data,110.6,3.1,10.2
2020/6/19,6:00:00,2.30103,21.53175,25.05994,No data,No data,130.3,3.7,10.1
2020/6/19,7:00:00,6.15331,29.85462,39.28956,No data,No data,122.7,3.2,10
2020/6/19,8:00:00,6.59283,27.48104,37.58991,No data,No data,126.6,3.2,10.1
2020/6/19,9:00:00,4.42108,20.92934,27.70823,No data,No data,127,3.3,10.2
2020/6/19,10:00:00,4.47278,21.56154,28.41971,No data,No data,122.7,3.3,10.8
2020/6/19,11:00:00,5.42939,19.89713,28.22208,No data,No data,123.9,2.8,12.3
2020/6/19,12:00:00,5.66208,17.4059,26.08763,No data,No data,155.9,3.3,13.7
2020/6/19,13:00:00,3.64545,12.75079,18.3404,No data,No data,176.3,3.3,14.5
2020/6/19,14:00:00,2.81811,11.09438,15.41542,No data,No data,230.1,4.4,15
2020/6/19,15:00:00,1.62882,6.47508,8.97257,No data,No data,244.5,6,14.1
2020/6/19,16:00:00,1.5254,5.9617,8.30061,No data,No data,257.5,7.6,13.5
2020/6/19,17:00:00,1.47369,8.45211,10.71174,No data,No data,254.8,7.8,13.2
2020/6/19,18:00:00,1.70638,10.22977,12.84618,No data,No data,256.9,7.6,12.3
2020/6/19,19:00:00,1.47369,10.82372,13.08334,No data,No data,256.7,6.6,12.1
2020/6/19,20:00:00,1.13759,11.14144,12.88571,No data,No data,260.6,6.3,12.1
2020/6/19,21:00:00,1.03417,13.59256,15.17826,No data,No data,261.3,6.1,11.7
2020/6/19,22:00:00,0.75839,11.96002,13.12287,No data,No data,256.4,5.8,11.5
2020/6/19,23:00:00,1.55126,14.89462,17.27318,No data,No data,254.8,6.2,11.2
2020/6/19,24:00:00,0.64636,11.10411,12.09518,No data,No data,253.9,5.4,10.8
2020/6/20,1:00:00,0.55156,7.48125,8.32696,No data,No data,233.9,3.1,9.9
