Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,Carbon monoxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/19,1:00:00,0.40197,8.54919,9.16553,0.123968,16.275,14.151,113.5,1.4,10.6
2020/6/19,2:00:00,0.4913,10.5326,11.28592,0.123968,16.1,13.915,126.3,2.1,10.4
2020/6/19,3:00:00,0.77044,14.67025,15.85158,0.13242,15.475,13.302,122.2,1.8,10.4
2020/6/19,4:00:00,1.20591,17.90131,19.75035,0.123968,14.7,11.604,124.4,2.2,10.3
2020/6/19,5:00:00,3.18227,30.72252,35.60193,0.135237,13.325,9.882,110.9,2.4,10.1
2020/6/19,6:00:00,2.98128,26.41373,30.98497,0.12115,13.275,10.024,117.9,2.6,9.9
2020/6/19,7:00:00,3.81872,29.38755,35.24284,0.104245,13.25,9.552,138.2,2.6,10.1
2020/6/19,8:00:00,2.34483,19.74597,23.34133,0.118333,13,9.41,133.5,2.5,10.1
2020/6/19,9:00:00,4.42168,26.87274,33.65255,0.140872,18.925,12.618,133,2.6,10.2
2020/6/19,10:00:00,3.91921,21.58982,27.59919,0.123968,15.425,10.566,129.6,2.7,10.5
2020/6/19,11:00:00,5.4266,21.2279,29.54858,0.129602,14.95,9.693,119.8,2.5,11.7
2020/6/19,12:00:00,6.26404,18.66136,28.26609,0.138054,9.15,5.047,137.2,2.6,13.2
2020/6/19,13:00:00,5.86207,14.50684,23.49523,0.101427,4.575,2.193,157.5,2.8,13.8
2020/6/19,14:00:00,4.52217,13.63725,20.57115,0.090158,3.95,1.604,176.4,2.8,14.3
2020/6/19,15:00:00,3.91921,13.07408,19.08346,0.078889,6.775,1.604,233.3,3.6,14.5
2020/6/19,16:00:00,3.75173,11.22761,16.98017,0.073254,5.525,1.25,250.8,4.8,14
2020/6/19,17:00:00,3.08178,12.40875,17.13407,0.081706,5.075,1.368,252.5,4.4,13.4
2020/6/19,18:00:00,2.04335,12.87239,16.00548,0.084523,3.825,1.604,254.6,4.6,12.6
2020/6/19,19:00:00,1.87586,13.0266,15.90288,0.087341,5.375,2.712,257.4,4.4,12.2
2020/6/19,20:00:00,1.57439,12.97586,15.38989,0.092975,3.95,2.359,260.1,4.3,12.3
2020/6/19,21:00:00,0.97143,12.1049,13.5944,0.056348,3.825,1.91,263.3,3.9,12.1
2020/6/19,22:00:00,1.03843,14.72105,16.31328,0.056348,6.1,4.269,249.4,2.9,11.2
