Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/19,1:00:00,7.42617,16.63706,28.02369,25.121,12,113.5,1.4,10.6
2020/6/19,2:00:00,2.2327,13.59619,17.01962,27.054,10,126.3,2.1,10.4
2020/6/19,3:00:00,6.22488,18.13055,27.67523,14.493,12,122.2,1.8,10.4
2020/6/19,4:00:00,3.56747,14.33727,19.80732,22.223,14,124.4,2.2,10.3
2020/6/19,5:00:00,13.72385,21.92794,42.97088,15.459,11,110.9,2.4,10.1
2020/6/19,6:00:00,17.76456,27.39658,54.63519,20.29,9,117.9,2.6,9.9
2020/6/19,7:00:00,23.07936,36.13857,71.52643,20.29,13,138.2,2.6,10.1
2020/6/19,8:00:00,27.73892,37.19205,79.72446,35.749,10,133.5,2.5,10.1
2020/6/19,9:00:00,22.93375,32.56543,67.73003,39.614,11,133,2.6,10.2
2020/6/19,10:00:00,27.92093,35.15231,77.96381,27.054,11,129.6,2.7,10.5
2020/6/19,11:00:00,30.43273,30.42063,77.08349,27.054,9,119.8,2.5,11.7
2020/6/19,12:00:00,26.68324,32.26331,73.17704,6.763,5,137.2,2.6,13.2
2020/6/19,13:00:00,22.31491,17.33834,51.55405,5.797,0,157.5,2.8,13.8
2020/6/19,14:00:00,6.91653,12.61339,23.21858,2.899,0,176.4,2.8,14.3
2020/6/19,15:00:00,5.82445,10.98667,19.91736,26.087,3,233.3,3.6,14.5
2020/6/19,16:00:00,4.44114,10.46673,17.27639,No data,2,250.8,4.8,14
2020/6/19,17:00:00,4.76877,12.11017,19.42218,13.527,2,252.5,4.4,13.4
2020/6/19,18:00:00,4.18632,12.28798,18.70691,8.696,2,254.6,4.6,12.6
2020/6/19,19:00:00,3.71308,12.95858,18.65189,10.628,5,257.4,4.4,12.2
2020/6/19,20:00:00,4.18632,13.16831,19.58724,12.561,6,260.1,4.3,12.3
2020/6/19,21:00:00,3.20344,12.52957,17.44145,9.662,8,263.3,3.9,12.1
2020/6/19,22:00:00,2.22057,14.03662,17.44145,20.29,5,249.4,2.9,11.2
2020/6/19,23:00:00,1.74733,14.102,16.7812,6.763,3,246.5,2.3,10.1
2020/6/19,24:00:00,2.00215,12.06067,15.13059,15.459,6,242.1,2.8,9.8
2020/6/20,1:00:00,1.84553,11.26414,14.09392,16.425,7,220.9,2.6,9.4
2020/6/20,2:00:00,1.52985,8.16965,10.51538,15.459,5,212.1,2.2,8.5
2020/6/20,3:00:00,0.5828,5.98818,6.8818,13.527,3,216.8,2.4,7.9
2020/6/20,4:00:00,1.457,7.07015,9.30419,12.561,4,240.9,2.4,8.6
2020/6/20,5:00:00,1.38415,7.29196,9.4143,17.392,6,235.7,2.8,9.5
2020/6/20,6:00:00,2.00338,4.85603,7.92783,18.358,7,234.7,2.7,10.4
2020/6/20,7:00:00,2.95043,5.55103,10.07495,14.493,4,236.4,2.8,12.3
2020/6/20,8:00:00,3.7882,5.47765,11.28614,14.493,3,247,3,14
2020/6/20,9:00:00,4.6624,7.05511,14.20403,18.358,6,239.4,3.4,15.7
2020/6/20,10:00:00,4.62597,6.61548,13.70854,4.831,4,231.9,3.1,17
2020/6/20,11:00:00,6.44722,11.91592,21.80153,9.662,3,227.4,3.5,18.4
2020/6/20,12:00:00,14.1329,14.33541,36.00555,16.425,4,213.9,3.9,19.4
2020/6/20,13:00:00,9.65262,16.14007,30.94055,13.527,2,213.8,4.5,19.7
2020/6/20,14:00:00,7.24857,11.45796,22.57229,9.662,1,211.7,4.8,19.9
2020/6/20,15:00:00,9.39765,13.22776,27.63729,11.594,3,207.2,5,19.7
2020/6/20,16:00:00,8.70557,15.94056,29.28892,24.155,5,196.8,4.7,19.4
2020/6/20,17:00:00,8.1592,18.54006,31.05066,7.73,5,182.1,4.4,19.4
2020/6/20,18:00:00,6.95717,16.03385,26.70137,17.392,3,169.3,5.4,17.4
2020/6/20,19:00:00,9.28837,17.57945,31.82142,20.29,8,169.6,4.2,16.3
2020/6/20,20:00:00,8.66915,18.85924,32.15175,13.527,7,170.4,3.6,15.2
2020/6/20,21:00:00,6.37437,17.42295,27.19686,12.561,6,168.1,3.4,14.3
2020/6/20,22:00:00,6.66577,17.96712,28.18783,28.02,5,161.8,3.4,13.5
2020/6/20,23:00:00,7.21215,20.98317,32.04164,29.952,8,160.5,3.2,12.9
2020/6/20,24:00:00,5.5366,17.38622,25.87555,25.121,8,165.5,3.1,12.4
2020/6/21,1:00:00,2.86718,8.82493,13.22121,4.831,5,176.2,3.7,13.6
2020/6/21,2:00:00,1.42144,5.14724,7.32676,19.324,4,185,3.8,13.6
2020/6/21,3:00:00,1.53078,5.91609,8.26326,6.763,5,176.9,4.1,12.9
2020/6/21,4:00:00,0.87473,4.38795,5.72919,22.223,4,183.4,5.1,12.5
2020/6/21,5:00:00,2.36907,7.60551,11.23803,9.662,4,183.4,4.8,12.5
2020/6/21,6:00:00,1.53078,5.91609,8.26326,6.763,3,188.2,5,12.8
2020/6/21,7:00:00,5.53997,7.37095,15.86546,7.73,2,203.4,4.6,14.1
2020/6/21,8:00:00,2.15039,6.72888,10.02609,8.696,2,234,5.1,17.1
2020/6/21,9:00:00,2.25973,2.92539,6.39025,18.358,9,241.8,5.4,18.2
2020/6/21,10:00:00,2.11394,2.98366,6.22499,21.256,6,248.6,5.5,19
2020/6/21,11:00:00,1.67657,2.99322,5.56393,13.527,8,243.4,5.8,18.8
2020/6/21,12:00:00,1.96815,3.64791,6.6657,10.628,5,238.2,6.5,19.6
2020/6/21,13:00:00,2.07749,3.53534,6.72078,12.561,4,245.6,6.6,19.8
2020/6/21,14:00:00,3.46248,4.55175,9.86082,12.561,5,252.6,6.7,19.6
2020/6/21,15:00:00,4.22788,6.51821,13.00086,10.628,6,262.6,6.5,19
2020/6/21,16:00:00,6.81563,9.21607,19.66656,16.425,6,271.5,6,17.4
2020/6/21,17:00:00,5.35774,5.77737,13.99245,16.425,5,280.4,5.4,16.5
2020/6/21,18:00:00,6.70628,8.61249,18.89532,15.459,3,276.5,5.5,16.5
2020/6/21,19:00:00,4.92037,7.05396,14.59842,16.425,7,276.8,3.7,15.6
2020/6/21,20:00:00,3.8634,9.11533,15.03913,17.392,8,285.3,2.7,13.8
2020/6/21,21:00:00,2.07749,7.00591,10.19135,30.918,11,254.7,2.2,12.5
2020/6/21,22:00:00,2.47841,11.0186,14.81878,14.493,8,245.6,2.7,11.4
2020/6/21,23:00:00,1.09342,7.90883,9.58538,25.121,10,245,2.9,10.8
2020/6/21,24:00:00,2.5513,7.49135,11.4033,23.189,12,246.4,2.6,10
2020/6/22,1:00:00,2.38267,8.69405,12.34742,18.358,7,222.1,2.2,8.9
2020/6/22,2:00:00,1.45878,7.53828,9.77504,25.121,9,244.2,2.3,8.3
2020/6/22,3:00:00,1.67759,5.53072,8.103,24.155,9,244.6,2.7,8.2
2020/6/22,4:00:00,1.27643,5.92534,7.88251,28.986,7,246.7,2.7,7.9
